Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,484858,-,-,-,51.45,5.46,1,20,1,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,
2018,1,1,0,30,6.800000000000001,0,0,0,7,6.4,0,0,0,0,2.576,97.46000000000001,151.51,0.22,1030,15.3,252,3.5,N/A
2018,1,1,1,30,6.7,0,0,0,4,5,0,0,0,0,4.624,89,150.07,0.62,995,16.900000000000002,226,8,N/A
2018,1,1,2,30,6.4,0,0,0,4,4.800000000000001,0,0,0,0,4.624,89.32000000000001,144.72,0.91,995,0,224,8.1,N/A
2018,1,1,3,30,6.300000000000001,0,0,0,4,4.7,0,0,0,0,4.624,89.59,136.99,1.16,995,25.5,226,8,N/A
2018,1,1,4,30,6.300000000000001,0,0,0,7,4.800000000000001,0,0,0,0,4.624,90.32000000000001,128.11,0.55,996,2.3000000000000003,231,7.5,N/A
2018,1,1,5,30,6.2,0,0,0,7,5.1000000000000005,0,0,0,0,4.624,92.74,118.81,2.19,997,23.700000000000003,240,7,N/A
2018,1,1,6,30,6,0,0,0,4,5.2,0,0,0,0,4.624,94.55,109.55,1.2,998,14.9,248,6.7,N/A
2018,1,1,7,30,5.5,0,0,0,7,4.800000000000001,0,0,0,0,4.624,95.27,100.68,0.17,999,6,245,6.2,N/A
2018,1,1,8,30,5.1000000000000005,0,0,0,7,4.2,0,0,0,0,4.624,94.13,92.54,2.11,999,21.900000000000002,232,5.800000000000001,N/A
2018,1,1,9,30,5.300000000000001,37,148,49,7,3.9000000000000004,5,0,3,5,4.624,90.97,85.29,1.94,1000,13.3,218,5.9,N/A
