Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,483741,-,-,-,51.45,5.42,0,21,1,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,
2018,1,1,0,30,6.6000000000000005,0,0,0,4,5,0,0,0,0,7.7090000000000005,89.59,150.07,0.61,995,4.4,226,8,N/A
2018,1,1,1,30,6.4,0,0,0,4,4.800000000000001,0,0,0,0,7.7090000000000005,89.34,144.73,0.59,995,4.2,224,8.1,N/A
2018,1,1,2,30,6.300000000000001,0,0,0,4,4.7,0,0,0,0,7.7090000000000005,89.64,137.01,0.55,995,5,226,8,N/A
2018,1,1,3,30,6.300000000000001,0,0,0,7,4.800000000000001,0,0,0,0,7.7090000000000005,90.4,128.14000000000001,0.51,996,4.5,231,7.5,N/A
2018,1,1,4,30,6.2,0,0,0,7,5.1000000000000005,0,0,0,0,7.7090000000000005,92.79,118.84,0.47000000000000003,997,4,240,7,N/A
2018,1,1,5,30,6,0,0,0,4,5.2,0,0,0,0,7.7090000000000005,94.46000000000001,109.57000000000001,0.43,998,3.4000000000000004,248,6.7,N/A
2018,1,1,6,30,5.5,0,0,0,7,4.800000000000001,0,0,0,0,7.7090000000000005,95.12,100.71000000000001,0.39,999,2.9000000000000004,245,6.2,N/A
2018,1,1,7,30,5,0,0,0,8,4.2,0,0,0,0,7.7090000000000005,94.69,92.56,0.35000000000000003,999,2.4000000000000004,232,5.800000000000001,N/A
2018,1,1,8,30,5.2,37,146,49,7,3.9000000000000004,5,0,3,5,7.7090000000000005,91.48,85.31,0.32,999,1.9000000000000001,218,5.9,N/A
2018,1,1,9,30,6,74,306,128,0,4.1000000000000005,74,306,0,128,0.514,87.84,79.78,0.29,999,1.4000000000000001,212,6.1000000000000005,N/A
