Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,485980,-,-,-,51.41,5.5,0,23,1,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,
2018,1,1,0,30,6.6000000000000005,0,0,0,8,5,0,0,0,0,4.111,89.59,150.09,0.27,995,5.800000000000001,226,8,N/A
2018,1,1,1,30,6.4,0,0,0,4,4.800000000000001,0,0,0,0,4.111,89.26,144.73,0.11,995,6.7,224,8.1,N/A
2018,1,1,2,30,6.300000000000001,0,0,0,4,4.7,0,0,0,0,4.111,89.49,136.98,2.18,995,16.1,226,8,N/A
2018,1,1,3,30,6.300000000000001,0,0,0,7,4.800000000000001,0,0,0,0,4.111,90.10000000000001,128.09,1.74,995,14.5,231,7.5,N/A
2018,1,1,4,30,6.2,0,0,0,7,5.1000000000000005,0,0,0,0,4.111,92.53,118.78,1.48,996,7.6000000000000005,240,7.1000000000000005,N/A
2018,1,1,5,30,6,0,0,0,4,5.2,0,0,0,0,4.111,94.4,109.52,1.51,997,16.8,248,6.7,N/A
2018,1,1,6,30,5.5,0,0,0,7,4.800000000000001,0,0,0,0,4.111,95.18,100.64,1.99,998,21.6,245,6.2,N/A
2018,1,1,7,30,5,0,0,0,7,4.2,0,0,0,0,4.111,94.78,92.49,0.5,999,25.5,232,5.800000000000001,N/A
2018,1,1,8,30,5.300000000000001,37,150,50,8,3.9000000000000004,5,0,3,5,4.111,90.86,85.25,0.19,999,7.300000000000001,218,5.9,N/A
2018,1,1,9,30,6.1000000000000005,73,314,129,0,4.1000000000000005,73,314,0,129,3.854,87.19,79.72,1.45,999,0.1,212,6.1000000000000005,N/A
2018,1,1,10,30,6.800000000000001,107,322,185,4,4.6000000000000005,14,0,3,14,3.854,85.61,75.97,0.04,998,17.400000000000002,209,6.1000000000000005,N/A
2018,1,1,11,30,7.4,126,304,207,7,4.800000000000001,11,0,0,11,3.854,83.59,74.38,2.02,997,2.2,208,5.6000000000000005,N/A
2018,1,1,12,30,7.800000000000001,108,367,202,6,5,11,0,3,11,3.854,82.42,75.09,0.34,996,13,204,4.9,N/A
2018,1,1,13,30,7.7,84,341,155,9,5.1000000000000005,9,0,3,9,3.854,83.85000000000001,78.03,2.5100000000000002,995,8.3,196,3.7,N/A
2018,1,1,14,30,6.800000000000001,55,177,77,6,5.2,6,0,3,6,3.854,89.27,82.92,2.5500000000000003,994,21.5,183,2.5,N/A
2018,1,1,15,30,6,0,0,0,6,5.1000000000000005,0,0,0,0,3.854,94.28,89.17,2.06,993,16.3,162,1.8,N/A
2018,1,1,16,30,5.5,0,0,0,6,5.1000000000000005,0,0,0,0,3.854,97.42,97.37,0.27,992,12.5,140,1.6,N/A
2018,1,1,17,30,5,0,0,0,7,4.800000000000001,0,0,0,0,3.854,98.78,106,2.15,992,6.300000000000001,113,1,N/A
2018,1,1,18,30,4.7,0,0,0,4,4.4,0,0,0,0,3.854,98,115.15,1.8900000000000001,993,19.700000000000003,202,1.1,N/A
2018,1,1,19,30,4.7,0,0,0,6,4.2,0,0,0,0,3.854,96.58,124.49000000000001,2.0100000000000002,994,0.6000000000000001,302,2.5,N/A
2018,1,1,20,30,4.9,0,0,0,4,4.4,0,0,0,0,3.854,96.35000000000001,133.6,2.36,995,18.6,290,3.6,N/A
2018,1,1,21,30,5.1000000000000005,0,0,0,7,4.7,0,0,0,0,3.854,97.49000000000001,141.89000000000001,0.27,997,19.8,279,4,N/A
2018,1,1,22,30,4.9,0,0,0,6,4.800000000000001,0,0,0,0,3.854,99.09,148.34,0.7000000000000001,998,25.5,271,4.1000000000000005,N/A
2018,1,1,23,30,4.800000000000001,0,0,0,8,4.5,0,0,0,0,3.854,97.75,151.44,2.47,998,7.1000000000000005,268,4.1000000000000005,N/A
2018,1,2,0,30,4.6000000000000005,0,0,0,4,4.3,0,0,0,0,3.854,97.64,150.04,0.33,1000,15.100000000000001,261,3.8000000000000003,N/A
2018,1,2,1,30,4.800000000000001,0,0,0,4,4.3,0,0,0,0,3.854,96.56,144.70000000000002,0.19,1001,0.1,259,4,N/A
2018,1,2,2,30,5,0,0,0,4,4.5,0,0,0,0,3.854,96.61,136.98,2.2600000000000002,1001,17,264,4.3,N/A
2018,1,2,3,30,5.2,0,0,0,4,4.7,0,0,0,0,3.854,96.26,128.1,1.82,1002,15.200000000000001,271,4.7,N/A
2018,1,2,4,30,5.2,0,0,0,4,4.800000000000001,0,0,0,0,3.854,97,118.79,1.55,1004,8.4,275,5,N/A
2018,1,2,5,30,5.1000000000000005,0,0,0,4,4.7,0,0,0,0,3.854,97.46000000000001,109.52,1.58,1005,17.7,275,4.9,N/A
2018,1,2,6,30,4.800000000000001,0,0,0,4,4.5,0,0,0,0,3.854,97.86,100.64,2.04,1006,22.5,271,4.6000000000000005,N/A
2018,1,2,7,30,4.5,0,0,0,4,4.1000000000000005,0,0,0,0,3.854,97.4,92.48,0.54,1007,0.8,266,4.4,N/A
2018,1,2,8,30,4.7,34,210,52,4,3.9000000000000004,4,0,3,4,3.854,94.82000000000001,85.22,0.2,1008,8.200000000000001,260,4.2,N/A
2018,1,2,9,30,5.300000000000001,58,462,141,4,4.3,10,0,3,10,3.854,92.94,79.67,1.44,1008,1,251,3.9000000000000004,N/A
2018,1,2,10,30,5.9,69,575,209,7,4.6000000000000005,10,0,3,10,3.854,91.4,75.91,2.5500000000000003,1008,18.3,240,3.9000000000000004,N/A
2018,1,2,11,30,6.300000000000001,72,620,240,6,4.7,12,0,0,12,3.854,89.49,74.29,1.94,1008,3,233,4.1000000000000005,N/A
2018,1,2,12,30,6.5,71,596,226,6,4.5,11,0,3,11,3.854,86.76,74.98,0.24,1008,13.5,228,4.2,N/A
2018,1,2,13,30,6.300000000000001,61,529,172,6,4.2,9,0,3,9,3.854,86.64,77.91,2.38,1007,8.700000000000001,221,3.9000000000000004,N/A
2018,1,2,14,30,5.800000000000001,43,350,87,7,4.2,6,0,3,6,3.854,89.28,82.8,2.41,1007,21.8,209,3.7,N/A
2018,1,2,15,30,5.300000000000001,0,0,0,7,4.3,0,0,0,0,3.854,92.95,89.05,1.92,1006,16.6,197,4,N/A
