Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,487103,-,-,-,51.45,5.54,0,19,1,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,
2018,1,1,0,30,6.7,0,0,0,4,5,0,0,0,0,4.366,89.03,150.05,0.62,995,3.9000000000000004,226,8,N/A
2018,1,1,1,30,6.4,0,0,0,4,4.800000000000001,0,0,0,0,4.366,89.33,144.68,0.58,995,3.8000000000000003,224,8.1,N/A
2018,1,1,2,30,6.300000000000001,0,0,0,4,4.7,0,0,0,0,4.366,89.67,136.94,0.53,996,4.3,226,8,N/A
2018,1,1,3,30,6.300000000000001,0,0,0,7,4.800000000000001,0,0,0,0,4.366,90.29,128.06,0.48,996,3.9000000000000004,231,7.5,N/A
2018,1,1,4,30,6.300000000000001,0,0,0,7,5.1000000000000005,0,0,0,0,4.366,92.11,118.76,0.42,997,3.4000000000000004,240,7,N/A
2018,1,1,5,30,6,0,0,0,4,5.2,0,0,0,0,4.366,94.69,109.5,0.37,998,3,248,6.7,N/A
2018,1,1,6,30,5.5,0,0,0,1,4.800000000000001,0,0,0,0,4.366,95.47,100.64,0.32,999,2.5,245,6.2,N/A
2018,1,1,7,30,5.1000000000000005,0,0,0,8,4.3,0,0,0,0,4.366,94.34,92.5,0.26,1000,2,232,5.800000000000001,N/A
2018,1,1,8,30,5.300000000000001,37,152,50,7,3.9000000000000004,5,0,3,5,4.366,91,85.26,0.21,1000,1.4000000000000001,218,5.9,N/A
2018,1,1,9,30,6.1000000000000005,73,319,130,0,4.1000000000000005,73,319,0,130,4.624,87.17,79.74,0.17,999,0.9,212,6.1000000000000005,N/A
2018,1,1,10,30,6.9,107,323,185,4,4.6000000000000005,32,0,3,32,4.624,85.02,76.01,0.13,998,0.4,209,6.1000000000000005,N/A
2018,1,1,11,30,7.4,127,297,207,4,4.800000000000001,17,0,0,17,4.624,83.57000000000001,74.42,0.11,997,0.1,208,5.6000000000000005,N/A
2018,1,1,12,30,7.800000000000001,109,362,202,7,5,9,0,3,9,4.624,82.38,75.13,0.11,996,0.6000000000000001,204,4.9,N/A
2018,1,1,13,30,7.7,84,339,154,9,5.1000000000000005,8,0,3,8,4.624,83.8,78.08,0.14,995,1.1,196,3.7,N/A
2018,1,1,14,30,6.9,55,174,76,6,5.1000000000000005,5,0,3,5,4.624,88.53,82.97,0.19,994,1.7000000000000002,183,2.5,N/A
2018,1,1,15,30,6,0,0,0,6,5.1000000000000005,0,0,0,0,4.624,94.19,89.21000000000001,0.23,993,2.2,162,1.8,N/A
