Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,487104,-,-,-,51.41,5.54,0,23,1,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,
2018,1,1,0,30,6.6000000000000005,0,0,0,8,5,0,0,0,0,4.108,89.61,150.08,0.5,995,13,226,8,N/A
2018,1,1,1,30,6.4,0,0,0,4,4.800000000000001,0,0,0,0,4.108,89.27,144.71,0.81,995,5.1000000000000005,224,8.1,N/A
2018,1,1,2,30,6.300000000000001,0,0,0,4,4.7,0,0,0,0,4.108,89.48,136.96,1.07,995,20.6,226,8,N/A
2018,1,1,3,30,6.300000000000001,0,0,0,7,4.800000000000001,0,0,0,0,4.108,90.09,128.07,0.47000000000000003,995,16.3,231,7.5,N/A
2018,1,1,4,30,6.2,0,0,0,7,5.1000000000000005,0,0,0,0,4.108,92.53,118.76,2.11,996,23.3,240,7.1000000000000005,N/A
2018,1,1,5,30,6,0,0,0,4,5.2,0,0,0,0,4.108,94.46000000000001,109.49000000000001,1.11,997,4.800000000000001,248,6.7,N/A
2018,1,1,6,30,5.5,0,0,0,7,4.800000000000001,0,0,0,0,4.108,95.26,100.62,0.08,998,4.5,245,6.2,N/A
2018,1,1,7,30,5.1000000000000005,0,0,0,7,4.2,0,0,0,0,4.108,94.18,92.47,2.02,999,1,232,5.800000000000001,N/A
2018,1,1,8,30,5.300000000000001,37,152,50,7,3.9000000000000004,21,0,3,21,4.108,90.88,85.23,1.84,999,21.200000000000003,218,5.9,N/A
2018,1,1,9,30,6.1000000000000005,74,319,131,0,4.1000000000000005,74,319,0,131,4.882,87.18,79.71000000000001,0.09,999,14.9,212,6.1000000000000005,N/A
2018,1,1,10,30,6.9,107,323,185,4,4.6000000000000005,17,0,3,17,4.882,85.01,75.97,0.45,998,9.600000000000001,209,6.1000000000000005,N/A
2018,1,1,11,30,7.4,127,302,208,4,4.800000000000001,17,0,0,17,4.882,83.56,74.38,0.16,997,17.8,208,5.6000000000000005,N/A
2018,1,1,12,30,7.800000000000001,109,365,203,7,5,10,0,3,10,4.882,82.39,75.09,1.76,996,14.700000000000001,204,4.9,N/A
2018,1,1,13,30,7.7,84,341,155,9,5.1000000000000005,9,0,3,9,4.882,83.81,78.04,1.81,995,20.900000000000002,196,3.7,N/A
2018,1,1,14,30,6.800000000000001,55,176,77,6,5.1000000000000005,6,0,3,6,4.882,89.21000000000001,82.94,0.01,994,1.4000000000000001,183,2.5,N/A
2018,1,1,15,30,6,0,0,0,6,5.1000000000000005,0,0,0,0,4.882,94.24,89.19,2.29,993,6.2,162,1.8,N/A
2018,1,1,16,30,5.5,0,0,0,6,5.1000000000000005,0,0,0,0,4.882,97.44,97.39,0.15,992,8.5,140,1.6,N/A
2018,1,1,17,30,5,0,0,0,7,4.800000000000001,0,0,0,0,4.882,98.83,106.03,0.75,992,6.9,113,1,N/A
2018,1,1,18,30,4.7,0,0,0,7,4.4,0,0,0,0,4.882,98.02,115.18,2,993,1.4000000000000001,202,1,N/A
2018,1,1,19,30,4.7,0,0,0,6,4.2,0,0,0,0,4.882,96.54,124.51,0.43,994,12.4,302,2.5,N/A
2018,1,1,20,30,4.9,0,0,0,4,4.4,0,0,0,0,4.882,96.29,133.62,1.26,995,10.600000000000001,290,3.6,N/A
2018,1,1,21,30,5.1000000000000005,0,0,0,7,4.7,0,0,0,0,4.882,97.47,141.91,1.6,997,14.600000000000001,279,3.9000000000000004,N/A
