Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,483742,-,-,-,51.41,5.42,0,22,1,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,
2018,1,1,0,30,6.6000000000000005,0,0,0,4,5,0,0,0,0,7.71,89.37,150.11,2.47,995,18.900000000000002,226,8,N/A
2018,1,1,1,30,6.4,0,0,0,4,4.7,0,0,0,0,7.71,89.10000000000001,144.76,1.52,995,15.4,224,8.1,N/A
2018,1,1,2,30,6.300000000000001,0,0,0,4,4.7,0,0,0,0,7.71,89.45,137.03,2.48,995,21.3,226,8,N/A
2018,1,1,3,30,6.300000000000001,0,0,0,7,4.800000000000001,0,0,0,0,7.71,90.28,128.14000000000001,2.24,996,19,231,7.5,N/A
2018,1,1,4,30,6.2,0,0,0,7,5.1000000000000005,0,0,0,0,7.71,92.66,118.83,1.6400000000000001,996,11.8,240,7,N/A
2018,1,1,5,30,6,0,0,0,1,5.1000000000000005,0,0,0,0,7.71,94.26,109.57000000000001,1.12,998,23.6,248,6.7,N/A
2018,1,1,6,30,5.4,0,0,0,7,4.7,0,0,0,0,7.71,95.37,100.69,0.97,999,17.400000000000002,245,6.2,N/A
2018,1,1,7,30,5,0,0,0,8,4.2,0,0,0,0,7.71,94.33,92.54,1.49,999,8.8,232,5.800000000000001,N/A
2018,1,1,8,30,5.2,37,143,49,7,3.9000000000000004,5,0,3,5,7.71,91.31,85.28,0.35000000000000003,999,3.5,218,5.9,N/A
2018,1,1,9,30,6,75,297,128,0,4.1000000000000005,75,297,0,128,10.015,87.83,79.74,0.8300000000000001,999,6.2,212,6.1000000000000005,N/A
2018,1,1,10,30,6.800000000000001,109,308,183,4,4.6000000000000005,14,0,3,14,10.015,85.69,75.99,0.66,998,4.5,209,6.1000000000000005,N/A
2018,1,1,11,30,7.4,124,310,208,7,4.800000000000001,10,0,0,10,10.015,83.78,74.38,0.35000000000000003,997,7.4,208,5.6000000000000005,N/A
2018,1,1,12,30,7.800000000000001,106,378,203,6,5,12,0,3,12,10.015,82.67,75.08,0.26,996,23.5,204,4.9,N/A
2018,1,1,13,30,7.7,84,343,155,6,5.2,10,0,3,10,10.015,84.05,78.01,0.38,994,22.400000000000002,196,3.7,N/A
2018,1,1,14,30,6.800000000000001,55,177,77,6,5.2,7,0,3,7,10.015,89.59,82.89,0.41000000000000003,993,18.6,183,2.5,N/A
2018,1,1,15,30,6,0,0,0,6,5.2,0,0,0,0,10.015,94.5,89.14,2.38,993,23.6,162,1.8,N/A
2018,1,1,16,30,5.4,0,0,0,6,5.1000000000000005,0,0,0,0,10.015,97.86,97.33,0.31,992,6.5,140,1.5,N/A
2018,1,1,17,30,5,0,0,0,7,4.800000000000001,0,0,0,0,10.015,98.34,105.96000000000001,0.29,992,13.8,113,0.9,N/A
2018,1,1,18,30,4.7,0,0,0,7,4.4,0,0,0,0,10.015,97.86,115.10000000000001,0.41000000000000003,993,0.9,202,1.2000000000000002,N/A
2018,1,1,19,30,4.7,0,0,0,6,4.2,0,0,0,0,10.015,96.9,124.44,0.91,994,8.5,302,2.6,N/A
2018,1,1,20,30,5,0,0,0,7,4.5,0,0,0,0,10.015,96.5,133.55,1.51,996,11.4,290,3.7,N/A
2018,1,1,21,30,5.2,0,0,0,7,4.800000000000001,0,0,0,0,10.015,97.35000000000001,141.85,1.79,997,4.2,279,4,N/A
2018,1,1,22,30,5,0,0,0,7,4.800000000000001,0,0,0,0,10.015,98.4,148.31,0.93,998,24.3,271,4.1000000000000005,N/A
2018,1,1,23,30,4.9,0,0,0,1,4.5,0,0,0,0,10.015,97.02,151.43,2.17,998,16,268,4.1000000000000005,N/A
2018,1,2,0,30,4.7,0,0,0,4,4.3,0,0,0,0,10.015,97.31,150.06,2.42,1000,4.800000000000001,261,3.9000000000000004,N/A
2018,1,2,1,30,4.9,0,0,0,4,4.4,0,0,0,0,10.015,96.45,144.74,1.51,1001,13.4,259,4,N/A
2018,1,2,2,30,5.1000000000000005,0,0,0,4,4.6000000000000005,0,0,0,0,10.015,96.42,137.03,2.5,1002,22,264,4.3,N/A
2018,1,2,3,30,5.2,0,0,0,4,4.7,0,0,0,0,10.015,96.49000000000001,128.15,2.27,1003,19.6,271,4.7,N/A
