Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,485979,-,-,-,51.45,5.5,0,19,1,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,
2018,1,1,0,30,6.7,0,0,0,4,5,0,0,0,0,4.112,89.02,150.06,0.66,995,5.300000000000001,226,8,N/A
2018,1,1,1,30,6.4,0,0,0,4,4.800000000000001,0,0,0,0,4.112,89.32000000000001,144.70000000000002,0.61,995,5,224,8.1,N/A
2018,1,1,2,30,6.300000000000001,0,0,0,4,4.7,0,0,0,0,4.112,89.67,136.97,0.55,996,3.7,226,8,N/A
2018,1,1,3,30,6.300000000000001,0,0,0,7,4.800000000000001,0,0,0,0,4.112,90.29,128.09,0.5,996,3.4000000000000004,231,7.5,N/A
2018,1,1,4,30,6.300000000000001,0,0,0,7,5.1000000000000005,0,0,0,0,4.112,92.10000000000001,118.79,0.45,997,3.1,240,7,N/A
2018,1,1,5,30,6,0,0,0,4,5.2,0,0,0,0,4.112,94.63,109.53,0.4,998,2.7,248,6.7,N/A
2018,1,1,6,30,5.5,0,0,0,7,4.800000000000001,0,0,0,0,4.112,95.39,100.66,0.35000000000000003,999,2.3000000000000003,245,6.2,N/A
2018,1,1,7,30,5.1000000000000005,0,0,0,7,4.3,0,0,0,0,4.112,94.29,92.52,0.31,1000,2,232,5.800000000000001,N/A
2018,1,1,8,30,5.300000000000001,37,150,49,1,3.9000000000000004,37,150,0,49,4.112,90.99,85.28,0.27,1000,1.6,218,5.9,N/A
2018,1,1,9,30,6.1000000000000005,73,317,130,1,4.1000000000000005,73,317,0,130,3.341,87.18,79.75,0.23,999,1.3,212,6.1000000000000005,N/A
2018,1,1,10,30,6.9,106,321,184,4,4.6000000000000005,32,0,3,32,3.341,85.03,76.01,0.21,998,1,209,6.1000000000000005,N/A
2018,1,1,11,30,7.4,126,299,206,4,4.800000000000001,17,0,0,17,3.341,83.59,74.42,0.19,997,1,208,5.6000000000000005,N/A
2018,1,1,12,30,7.800000000000001,108,364,201,7,5,9,0,3,9,3.341,82.41,75.12,0.2,996,1.1,204,4.9,N/A
2018,1,1,13,30,7.7,84,340,154,9,5.1000000000000005,7,0,3,7,3.341,83.83,78.07000000000001,0.21,995,1.4000000000000001,196,3.7,N/A
2018,1,1,14,30,6.9,55,175,76,6,5.1000000000000005,5,0,3,5,3.341,88.59,82.95,0.25,994,1.7000000000000002,183,2.5,N/A
2018,1,1,15,30,6,0,0,0,6,5.1000000000000005,0,0,0,0,3.341,94.23,89.19,0.28,993,2.1,162,1.8,N/A
2018,1,1,16,30,5.5,0,0,0,6,5.1000000000000005,0,0,0,0,3.341,97.58,97.39,0.33,993,2.5,140,1.6,N/A
2018,1,1,17,30,5,0,0,0,7,4.9,0,0,0,0,3.341,99.02,106.01,0.37,993,2.9000000000000004,113,1,N/A
2018,1,1,18,30,4.7,0,0,0,4,4.4,0,0,0,0,3.341,98.13,115.16,0.42,993,3.2,202,1,N/A
2018,1,1,19,30,4.7,0,0,0,6,4.2,0,0,0,0,3.341,96.66,124.48,0.47000000000000003,994,3.6,302,2.5,N/A
2018,1,1,20,30,4.9,0,0,0,4,4.4,0,0,0,0,3.341,96.5,133.59,0.52,996,3.8000000000000003,290,3.6,N/A
2018,1,1,21,30,5.1000000000000005,0,0,0,7,4.7,0,0,0,0,3.341,97.53,141.86,0.58,997,4,279,3.9000000000000004,N/A
